X,Y,NAME,LAYER,GM_TYPE,MAP_NAME,<img_src,KML_STYLE,gx_media_l,icon_url
81.7662265,25.4349648,"A-169, Awas Vikas Colony, Devprayagam Colony, Jhalwa, Prayagraj, Uttar Pradesh 211011","<img src=""https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/3mp0r91b5c3nesi64em7ghvnh8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqiUNenhwp8Cfc2nDeefw5hfy60troKO1gNVQ9oLYyO_heZ",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/3mp0r91b5c3nesi64em7ghvnh8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqiUNenhwp8Cfc2nDeefw5hfy60troKO1gNVQ9oLYyO_heZvFDDYGPGZ",icon-1899-DB4436-labelson,https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/3mp0r91b5c3nesi64em7ghvnh8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqiUNenhwp8Cfc2nDeefw5hfy60troKO1gNVQ9oLYyO_heZvFDDYGPGZM,
81.7744736,25.4385143,"IOC Rd, Devprayagam Colony, Jhalwa, Prayagraj, Uttar Pradesh","<img src=""https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/237pfq463qdll0206oemc07ui8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALoL7TEg88V4WrBoGHP6cE1LYHHt75afBPcGUnoD2dIu_h0N",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/237pfq463qdll0206oemc07ui8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALoL7TEg88V4WrBoGHP6cE1LYHHt75afBPcGUnoD2dIu_h0Nr39tHCmYT",icon-1899-DB4436-labelson,https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/237pfq463qdll0206oemc07ui8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALoL7TEg88V4WrBoGHP6cE1LYHHt75afBPcGUnoD2dIu_h0Nr39tHCmYTi,
81.841225,25.438644,"41, KP Kakkar Rd, near petrol pump, Gosai Tola, Zero Road, Prayagraj, Uttar Pradesh 211003","<img src=""https://doc-0c-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/671jfj1qkvtnvtdsai353bk64k/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpAI48Y1ed4UvTCplSGRH7RA09b5Zk8QZs34MHV_9kpcntb",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-0c-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/671jfj1qkvtnvtdsai353bk64k/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpAI48Y1ed4UvTCplSGRH7RA09b5Zk8QZs34MHV_9kpcntbVWbyzPia7",icon-1899-DB4436-labelson,https://doc-0c-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/671jfj1qkvtnvtdsai353bk64k/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALpAI48Y1ed4UvTCplSGRH7RA09b5Zk8QZs34MHV_9kpcntbVWbyzPia7c,
81.8411301,25.4386244,"42, Zero Road, Near Bagga Petrol Pump, Gosai Tola, Zero Road, Prayagraj, Uttar Pradesh 211003","<img src=""https://doc-14-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/u67mt7lj1tl7vagqadev400sk8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALri9NHFs0mOEYkPNuuR_Mz7yz4oarUlesmahkwKUxUpV5qk",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-14-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/u67mt7lj1tl7vagqadev400sk8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALri9NHFs0mOEYkPNuuR_Mz7yz4oarUlesmahkwKUxUpV5qk9m_a1eFxQ",icon-1899-DB4436-labelson,https://doc-14-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/u67mt7lj1tl7vagqadev400sk8/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALri9NHFs0mOEYkPNuuR_Mz7yz4oarUlesmahkwKUxUpV5qk9m_a1eFxQl,
81.8430787,25.4372444,"152/201, Mohatsim Ganj, Prayagraj, Uttar Pradesh 211001","<img src=""https://doc-14-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/a2lq4qn37ob7o46n23ljcs03rg/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALql_W2Qy-i5FhW-KX4851jhrzCJ7qdeRuA-Fit15NtxNSBB",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-14-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/a2lq4qn37ob7o46n23ljcs03rg/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALql_W2Qy-i5FhW-KX4851jhrzCJ7qdeRuA-Fit15NtxNSBBPLE7AFHWx",icon-1899-DB4436-labelson,https://doc-14-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/a2lq4qn37ob7o46n23ljcs03rg/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALql_W2Qy-i5FhW-KX4851jhrzCJ7qdeRuA-Fit15NtxNSBBPLE7AFHWxb,
81.857888,25.4993219,"A-11A-118, Mehdauri Colony, Rasulabad, Teliarganj, Prayagraj, Uttar Pradesh 211004","<img src=""https://doc-0g-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/h3ptpk5a867uohm44eaiv3kh34/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqUWPc5KaW0d52kNH4O64OgJj84LpR3npp3CY-ySB2znbQo",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-0g-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/h3ptpk5a867uohm44eaiv3kh34/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqUWPc5KaW0d52kNH4O64OgJj84LpR3npp3CY-ySB2znbQoY0BCeD0o8",icon-1899-DB4436-labelson,https://doc-0g-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/h3ptpk5a867uohm44eaiv3kh34/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqUWPc5KaW0d52kNH4O64OgJj84LpR3npp3CY-ySB2znbQoY0BCeD0o8Y,
81.8416538,25.4382784,"112, KP Kakkar Rd, Chowk, Zero Road, Prayagraj, Uttar Pradesh 211003","<img src=""https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/45gicjirfip6onat8qn1otui0o/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrvKZoPCibEbVU14JaPq-TTABVgG2pp54GkUYblNs4MgShW",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/45gicjirfip6onat8qn1otui0o/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrvKZoPCibEbVU14JaPq-TTABVgG2pp54GkUYblNs4MgShWpN2NUo5mE",icon-1899-DB4436-labelson,https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/45gicjirfip6onat8qn1otui0o/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALrvKZoPCibEbVU14JaPq-TTABVgG2pp54GkUYblNs4MgShWpN2NUo5mED,
81.858046,25.501154,"59-B, Jondhwal, Rasulabad, Teliarganj, Prayagraj, Uttar Pradesh 211004","<img src=""https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/hfcb3jj6lpsh685t3l9bff8a54/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALoCmmil1l-bmSxDDr9DExd73xcxOA32Ikgwr0eR2dzeM3dp",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/hfcb3jj6lpsh685t3l9bff8a54/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALoCmmil1l-bmSxDDr9DExd73xcxOA32Ikgwr0eR2dzeM3dpSfnsAU16r",icon-1899-DB4436-labelson,https://doc-04-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/hfcb3jj6lpsh685t3l9bff8a54/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALoCmmil1l-bmSxDDr9DExd73xcxOA32Ikgwr0eR2dzeM3dpSfnsAU16rA,
81.8409413,25.4382612,"38   Gosai Tola, Bahadur Ganj, Prayagraj, Uttar Pradesh 211003","<img src=""https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/9tnjoftcpgo5lpra255dbfsrpc/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqmK3dAvZJOfQPlnA-HF3uFGRWQBCYsVw8kF5yFG0BmIpA1",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/9tnjoftcpgo5lpra255dbfsrpc/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqmK3dAvZJOfQPlnA-HF3uFGRWQBCYsVw8kF5yFG0BmIpA1o3kxN_DWG",icon-1899-DB4436-labelson,https://doc-08-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/9tnjoftcpgo5lpra255dbfsrpc/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALqmK3dAvZJOfQPlnA-HF3uFGRWQBCYsVw8kF5yFG0BmIpA1o3kxN_DWGO,
81.8606806,25.4518228,"19-D, Malviya Rd, Darbhanga Colony, George Town, Prayagraj, Uttar Pradesh 211002","<img src=""https://doc-10-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ea8oe3t3pnck7hdp3q0bg2rnqc/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALq6p7EzBHx91dKZl1wAOMcZiD0LinddHkn73XSN6w8ZgBhp",Unknown Point Feature,Containment Zone_21.04.2021.kml,"""https://doc-10-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ea8oe3t3pnck7hdp3q0bg2rnqc/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALq6p7EzBHx91dKZl1wAOMcZiD0LinddHkn73XSN6w8ZgBhp0RlLBRkcv",icon-1899-DB4436-labelson,https://doc-10-14-mymaps.googleusercontent.com/untrusted/hostedimage/u5i2832c8pf3b7vfu9peht28c0/ea8oe3t3pnck7hdp3q0bg2rnqc/1619782940750/j0pdvHI7jJhQA_JQaI3fUF2EZsX0MORe/03782050576812879883/5AF2TALq6p7EzBHx91dKZl1wAOMcZiD0LinddHkn73XSN6w8ZgBhp0RlLBRkcv7,
